OID_,CID,name,POINT_X,POINT_Y
259,52,sch1314,-68.03171097,44.334350486000062
260,52,sch1297,-68.03143461,44.334363152000037
261,52,sch1039,-68.03108223,44.334692236000080
262,52,sch1120,-68.03121807,44.334799700000076
263,52,sch1146,-68.03131866,44.334855170000026
264,52,sch1155,-68.03166886,44.334802560000071
265,52,sch762,-68.03186467,44.335007408000081
266,52,sch1261,-68.03221799,44.334968657000047
267,52,sch1268,-68.03248783,44.335099162000063
268,52,sch1109,-68.03261001,44.335160483000038
269,52,sch1235,-68.03278592,44.335202327000047
270,52,sch1074,-68.03359419,44.333365529000048
271,52,sch943,-68.03310875,44.333576434000065
272,52,sch749,-68.03278212,44.333596588000034
273,52,sch980,-68.03265755,44.333640551000030
274,52,sch1009,-68.03251902,44.333661285000062
275,52,sch1308,-68.03216276,44.333714377000035
276,52,sch1001,-68.03182802,44.333704553000075
277,52,sch1055,-68.03151418,44.333856566000065
278,52,sch1122,-68.03119861,44.334022399000048
279,52,sch935,-68.03147764,44.334023934000072
280,52,sch1314,-68.03171097,44.334350486000062
281,52,sch1297,-68.03143461,44.334363152000037
282,52,sch1039,-68.03108223,44.334692236000080
283,52,sch1120,-68.03121807,44.334799700000076
284,52,sch1146,-68.03131866,44.334855170000026
285,52,sch1155,-68.03166886,44.334802560000071
286,52,sch762,-68.03186467,44.335007408000081
287,52,sch1261,-68.03221799,44.334968657000047
288,52,sch1268,-68.03248783,44.335099162000063
289,52,sch1109,-68.03261001,44.335160483000038
290,52,sch1235,-68.03278592,44.335202327000047
291,52,sch863,-68.03384478,44.333458518000043
292,52,sch1074,-68.03359419,44.333365529000048
293,52,sch943,-68.03310875,44.333576434000065
294,52,sch749,-68.03278212,44.333596588000034
295,52,sch980,-68.03265755,44.333640551000030
296,52,sch1009,-68.03251902,44.333661285000062
297,52,sch1308,-68.03216276,44.333714377000035
298,52,sch1001,-68.03182802,44.333704553000075
299,52,sch1055,-68.03151418,44.333856566000065
300,52,sch1122,-68.03119861,44.334022399000048
301,52,sch935,-68.03147764,44.334023934000072
302,52,sch1314,-68.03171097,44.334350486000062
303,52,sch1297,-68.03143461,44.334363152000037
304,52,sch1039,-68.03108223,44.334692236000080
305,52,sch1120,-68.03121807,44.334799700000076
306,52,sch1146,-68.03131866,44.334855170000026
307,52,sch1155,-68.03166886,44.334802560000071
308,52,sch762,-68.03186467,44.335007408000081
